num,wallet,date_created,date_most_recent,aso,aso_line_num,note
76,TY3TUu4RwSDmUqQAbQ66vU3tRdkqPC19M4,2021-07-31 13:23:36,2023-06-18 15:27:42,34/23,25,3386 (less than 3828)
77,TY825nrM5GiztWFRQW3JpPUAGuZhWPisSA,2023-03-21 16:29:24,2023-05-15 18:27:51,34/23,26,
78,TRU6fdxpMMDdEykV1fPvcqtMNRLeyw6Ymt,2021-05-24 13:36:36,2023-04-12 09:32:09,44/21,1,no true line numbers
79,TG7YAAmZ5ALicdhuxKoE3DqnuBPj2zgG1Q,,,44/21,2,no true line numbers
80,TJKofAGPQ2mSmnPwugN79p1Ceu39KBZyHC,2020-11-12 19:17:21,2022-12-15 20:32:18,44/21,3,no true line numbers
81,TMKe9i1J46K3YDx5NjtyRTg1VDjbBhyfyJ,2020-12-04 20:07:00,2021-12-31 18:35:30,44/21,4,no true line numbers
82,TVbaPNrc2UbGrGBKwjRjjn6UENoTBnkB2d,2020-09-17 11:16:00,2021-12-28 01:59:21,44/21,5,no true line numbers
83,TU1TTeKBxtCVYNHrVrobBtvGAeJvuqyx6p,2021-06-22 12:17:03,2021-06-22 12:32:57,44/21,6,no true line numbers
84,TXVG2seoqhk4i1WpzG6t64YAW6SCUQfDhW,2020-11-12 13:07:57,2021-12-26 17:22:36,44/21,7,no true line numbers
85,THuvw2pY2GSBmDewHKzahQum2yUWHJeJKh,2020-08-13 19:30:09,2022-01-05 11:53:18,44/21,8,no true line numbers
86,TC71Nb9mtcv4vPezL8KEKvUs3aKoYwiJZa,2020-12-04 07:18:24,2021-12-27 20:45:51,44/21,9,no true line numbers
87,TAHg5ZFkxaJq5wE6pGpM8mY5Q1YEvz6W3G,2020-09-23 16:06:00,2021-07-05 20:46:54,44/21,10,no true line numbers
88,TWBAPzpPiZarfVsY2BLXeaLhNHurn4wkWG,2023-02-07 11:53:42,2023-10-25 14:48:09,29/23,1,
89,TKiBsUqd5ixPTqVWVp5BdDCHvoR7nwfMn3,2022-05-13 05:12:51,2023-07-26 19:12:03,29/23,2,
90,TXfKFBPkZTjcjvZLpzZcXeTZVav1VBEmfu,2023-03-03 16:42:39,2023-06-30 07:37:15,29/23,3,
91,TWQEKPhwtXk8XGfhfnQKHv6AU4Ce4qEEm4,2022-11-16 22:49:51,2023-07-12 11:24:06,29/23,4,
92,TReSAwt6Epi8MhvkTQJbamrJuvEeZnxTdp,2023-01-09 13:24:06,2023-05-21 20:58:09,29/23,5,
93,TBvub4tefF7pNr3UazUCvFMJbpVhcfAAc2,2022-06-23 08:29:54,2023-05-14 05:29:03,29/23,6,
94,TYiJb2qhbtzSmSYWv7at2M7EGrH8EcgmJr,2023-02-03 12:10:15,2023-09-16 22:31:00,29/23,7,
95,TNuSHwQnCFGP3DGS4LykeHn821ystJMCTK,2023-02-09 17:07:57,2023-09-16 15:00:39,29/23,8,
96,TJqPocniAs5fyauqLgmRJXdKdfgFGjMTRA,2023-01-23 19:50:21,2023-08-03 10:21:51,29/23,9,
97,TEUk9cTheXr1CoVgcVqc5j8ifAzmHkxJai,2021-06-10 20:15:03,2023-04-10 17:00:36,29/23,10,
98,TWeRNPzBjUroNfSuZPA8B9c2ipjQkYM5PL,2022-11-12 06:46:54,2023-10-19 10:41:30,29/23,11,
99,TG1xjFTUFYeDHQxvKoCUo7fZ9t6nxd1iys,2023-01-18 10:30:39,2023-07-03 21:02:00,29/23,12,
100,TC79XFhLcFFP5AojzJEheFySZkyT4DLpQr,2023-01-24 08:43:45,2023-03-25 18:11:51,29/23,13,
101,TCydk24r1DAVkdvDzYhUQruT3aa9cFrGrV,2022-12-21 22:36:27,2023-07-07 19:17:21,29/23,14,
102,TFQZpueb99fwRtKTa9NwRCjLyqiCP3MGHM,2023-01-19 16:21:54,2023-04-06 18:58:33,29/23,15,
103,TR3W6S94NLJ5yAs8c4ZZXTUsJeUmsZtS4A,2022-09-30 16:59:09,2023-07-15 12:09:09,29/23,16,
104,TDwxqs6Nn62mic4UPRaKzW6JUKM5wDW3WY,2022-06-27 11:35:36,2023-09-15 17:29:03,29/23,17,
105,TJdX83eW28zoiFgD3AH5WHN4k8XKBzY6JP,2022-05-10 16:39:39,2023-09-03 23:30:06,29/23,18,
106,TJSUmTC6Jfyim9wSmrUPNPxJxnJXsGpvCU,2021-06-25 20:50:18,2023-10-28 12:38:57,29/23,19,
107,TUAJ4qENLgTwrrioPaW8rKDYs4rZbxkWZF,2022-06-25 08:38:54,2023-10-28 00:56:30,29/23,20,
108,TMWkK1qx5KR6cJ1jjSqQsNUik3bfPDmhpf,2021-11-16 21:43:42,2023-09-06 16:00:06,29/23,21,
109,TCvMMsShKX8vHUxx1GbZ7jf8TRbXDmVfMG,2023-02-16 21:12:21,2023-10-20 21:11:06,29/23,22,
110,TGmw6hyZ7fw4ySZji5QmjKVJWXFP8Kmddw,2022-09-12 07:23:54,2023-07-19 10:14:18,29/23,23,
111,TJyHmwD7DKSeaJgE5xKZmmt87cyvsbSAk9,2021-09-27 14:37:06,2023-08-07 20:14:33,29/23,24,
112,TR2iVPD66Bm35X1JpEg5Uc8TAvw38iznVF,2021-11-05 09:04:45,2023-10-25 03:25:03,29/23,25,
113,TEX2r8REzxQ9UvXCbzx2wkHfE6Vu7nDwte,2023-02-07 21:12:39,2023-06-22 14:47:06,29/23,26,
114,TStACMeyKFiV1p1QpYsDQF15cs1ezEw2dT,2021-11-10 12:21:39,2023-08-30 15:06:39,29/23,27,
115,TUDE8fd8iLHMt4r5C1ybpohCvyvM1vDYNU,2023-02-01 15:53:06,2023-06-27 22:43:42,29/23,28,
116,TA9f6oyvsh2VzEB19hYk2Az4hZpHQjT18b,2023-02-04 20:15:54,2023-07-21 13:40:00,29/23,29,
117,TYh5oEYa8hJhXtbkpqXDpfSYUg7udNJ8DY,2022-01-15 15:36:09,2023-10-08 14:34:21,29/23,30,
118,TH8d32LzX7oJ5Fj8egzPKToMQ6VtjoodDd,2022-06-23 09:07:57,2023-03-27 09:38:45,29/23,31,
119,TVboq8xBRBSzCQ8v9cXQCTeGZmpoUNhjC5,2022-12-16 15:07:51,2023-07-26 18:59:21,29/23,32,
120,TRsJo9dLYzxp7XXvGzQwX5mXkRKAYYXJyV,2023-02-23 12:05:21,2023-03-27 20:18:45,29/23,33,
121,TFWTGjvwu1eziL9W4oSu7Jd6rxk4av7UNm,2022-09-25 10:38:54,2023-07-14 12:34:06,29/23,34,
122,TXFaNo6MZifpqtGUPn4vU9LzGkxqSW4XcM,2023-02-01 13:51:33,2023-03-15 09:39:24,29/23,35,
123,TXmQwjEHUEU1jAtUQZeXJoYUCR2yZD8bXm,2022-10-07 12:21:21,2023-03-28 18:57:00,29/23,36,
124,TGHP4NnEfAtn7aKUshq6ERZNisW5muUVHm,2023-03-02 11:37:45,2023-04-26 13:03:54,29/23,37,
125,TTiDzRuBU8vmHV1jKVxMhonMKKrchydXjb,2022-09-09 10:50:24,2023-10-28 14:46:15,29/23,38,
126,TMmEYcSL4KhzJuYpRH16aLsG16YoFyYKUq,2021-11-06 20:56:09,2023-07-30 14:07:09,29/23,39,appears in ASO 34/23 also
127,THfQd6TxV6s3cdw9sWa2aDvgSYkBio5aEf,2022-08-14 09:41:57,2023-10-15 12:56:21,53/23,1,
